Review_en,text_clean,food_rating,service_rating,atmosphere_rating,sentiment
Great food but not the coffee.,great food but not the coffee.,,,,positive
"High quality, good service",高品質，服務佳,,,,positive
It's good.,好吃,,,,positive
"Best Japanese Restaurant in Melaka. This place has good food, staff and service. The place is really nice, especially mention to Michelle who was really kind, as we had a VIP Card we got 10% off our bill (Sweet !). Dessert was also really good.","best japanese restaurant in melaka . this place has good food, staff and service. place is really nice ,special mention to michelle who was really kind, as we had a vip card we had 10%off from our bill (sweet !).dessert was also really good.",,,,positive
Friendly waitresses,friendly waitresses,,,,positive
The food is decent and average. 👍,the food is decent and average. thumbs up,,,,neutral
Food quality will never disappoint you,food quality will never disappoint you,,,,positive
Fresh food... worth every penny..,fresh food... worth every penny..,,,,positive
Afternoon dishes more variety,afternoon dishes more variety,,,,neutral
The service is good and the food is tasty. The taste of beef in mini don needs to improve but the fried rice is nice. Variety choice for sushi and sushi roll. Environmental ambiance is good.,the services is good and food is tasty. the taste of beef in mini don need to improve but the fried rice is nice. variety choice for sushi and sushi roll. environment ambient is good.,,,,positive
Great food with really good service.,great food with really good service. but perpare to bear the price,,,,positive
That's great.,great...,,,,positive
One of the best Japanese restaurants in town.,one of the best japanese restaurant in town.,,,,positive
The food is fresh.,料理好吃新鲜,,,,positive
The environment is good.,環境不錯,,,,positive
"ambience, food & service at the superb!","ambience, food & service all all superb!",,,,positive
"Good environment, good food, good service as well","good environment, good food, good service as well",,,,positive
"I come here almost every month, the portioning seems to have shrunk, very disappointed.",i come here almost every month. the portioning seemingly has shrunk. very disappointed.,,,,negative
Set meal price Rl start around RM3X and above. Rsw fish is average. Sushi and handroll is nothing extraordinary. Server service are general good desipe restaurant was really packed during busy dinner time,set meal price rl start around rm3x and above. rsw fish is average. sushi and handroll is nothing extraordinary. server service are general good desipe restaurant was really pack during busy dinner time,,,,neutral
It's a first-rate stick.,刺身一级棒,,,,positive
Enjoyed a cozy lunch with my family on 8 November 2017. We had the lunch time special i.e. from 11am to 12.59pm at RM17.90 per pax. It was splendid! value for money and sumptuous. Ambience was pleasant and the place was clean. Will visit again.,enjoyed a cosy lunch with my family on 8 nov 2017. we had the lunch time special ie frm 11am to 12.59pm at rm17.90 per pax. it was splendid! value for money and sumptuous. ambience was pleasing and place was clean. will visit again.,,,,positive
Good food at a reasonable price.,good food at reasonable price. highly recommended,,,,positive
"Food is fair, price is just fine, but toilet is not up to standard. Toilet tiles are slippery, and the tap is leaking.","food is fair, price is just ok, but toilet is not up to standard. toilet tiles are slippery, and the water tap is leaking.",,,,neutral
The food is good.,food are good,,,,positive
Decent Japanese food,decent japanese food,,,,neutral
Good Japanese food,good japanese food,,,,positive
"Nice place, good service all around, reasonably priced items without compromising on quality.","nice place, good service all around. reasonably priced items while not compromising over quality.",,,,positive
Nice Japanese food.,nice japanese food. love it...,,,,positive
Good food good services,nice food good services,,,,positive
Always serving great and quality food,always serving great and quality food,,,,positive
Good variety of food at reasonable prices,good variety of food with reasonable price,,,,positive
Nice service but got service charges,nice service but got service charges downcast face with sweat downcast face with sweat,,,,positive
It's a good Japanese dish.,馬六甲算好吃的日本料理,,,,positive
Best Japanese food in town,best japanese food in town,,,,positive
Nice Japanese food.,nice japanese food.,,,,positive
Getting better at their taste and quality,getting better at their taste and quality,,,,positive
"Good and fresh food, nice atmosphere","gutes und frisches essen, schöne atmosphäre",,,,positive
Authentic menu.Lunch promotions value for money,authentic menu. lunch promotions value for money,,,,positive
Nice environment,nice environment,,,,positive
Worst service ever.,worst service ever,,,,negative
Food is nice but worst service.,food is nice but worst service.,,,,negative
"I had a great time here! The food was pretty good, especially the fried items that were crispy and flavorful.  The staff were super friendly and attentive, making the visit really pleasant. 😊 The atmosphere was nice and comfortable too. Definitely a good place for a meal! ✨","i had a great time here! the food was pretty good, especially the fried items that were crispy and flavorful. fried shrimp the staff were super friendly and attentive, making the visit really pleasant. smiling face with smiling eyes the atmosphere was nice and comfortable too. definitely a good spot for a meal! sushi sparkles",,,,positive
The most difficult sushi mentai food I've ever had:,我吃过最难吃的sushi mentaifood:,,,,negative
"My experience at this restaurant was quite disappointing.  Upon entering, despite no queue, I was informed that there was no Wi-Fi to order.  It was frustrating to be told that I had to use my own phone to place an order.  The lack of basic service was a major drawback.  ♀️","my experience at this restaurant was quite disappointing. worried face upon entering, despite no queue, i was informed there was no wi-fi to order. antenna bars it was frustrating to be told i had to use my own phone to place an order. angry face the lack of basic service was a major drawback. woman facepalming",,,,negative
This is not the case.,this is not the case.,1.0,,,negative
ReservationsRecommended ReservationsSeating typeIndoor dining area,reservationreservations recommended,5.0,5.0,5.0,positive
It's hard to see things. I called the service department and they said they didn't see the sushi already there and they gave it to me because I didn't have enough people.,食物的品控有得加强，东西做到很难看。 我叫我了寿司很久都没来 我去问了服务业他说没有看到寿司已经摆放在那里了 然后才拿给我 人手不够也是大问题food:,,,,negative
"If the ingredients sold out on the day were to be given a notification before the customer enters the door and not after a snack, the service could still be maintained at 4.1 tons, it's a miracle that so many employees are speaking without a notification, only at the second round of the snack, notifying us that we don't have salmon.",如果当天sold out的食材 可以先在顾客进门的时候给予一个通知 而不是点餐后才告知没有这个食材 这个服务还能保持在4.1 glowing star 是很奇迹的事情那么多个员工都在做着讲话 没有通知 唯独一个在第二轮点餐的时候 通知我们没有salmon 拜托 服务可以更好,,,,neutral
This is not the case.,this is not the case.,4.0,4.0,4.0,positive
"I have been here many times already. In my mind, Sushi Mentai is the best CP value Japanese sushi shop in Melaka. Always my go-to shop when I crave Japanese food. The food is delicious and at a reasonable price. The sushi has a lot of variety, really fulfilling and delicious. The service is also very good, the workers are very diligent, hardworking and fast in movement. Just one comment...the sauce plates sometimes still have soy sauce stains. However overall 10/10 Recommended dishesVariety of SushiReservationWalk-ins only","i have been here many many times already. in my mind, sushi mentai is the best cp value japanese sushi shop in melaka. always my go-to shop when i crave japanese food. the food is delicious and at a reasonable price. the sushi has a lot of variety, really fulfilling and delicious. the service also very good, the workers are very diligent, hardworking and fast in movement.just one comment...the sauce plates some times still have soy sauce stains. however overall 10/10",5.0,5.0,4.0,positive
Noise levelModerate noiseWait timeUp to 10 min,noise levelmoderate noise,5.0,5.0,5.0,positive
There are more people every day. Food:,每天都多人。food:,,,,neutral
"It used to be my favorite place to eat sushi. I don't mind that they raise their price. But they also lower their quality. The sushi belt no longer has real sushi. It's mostly filled with fried eggs, fried potatoes. All the salmon and other fish have to be ordered from their QR. Then it takes more than 10 minutes just to serve my salmon. The worker is often looking grumpy. Whenever I try to call them for count plate and ask where my QR order sushi is, they will ignore me and only stare at the floor.","used to be my favourite place to eat sushi. i don't mind they raise their price. but they also lower their quality. the sushi belt no longer have real sushi. it is mostly filled with fried eggs, fried potato. all the salmon and other fish have to be order from their qr. then it needs more than 10 minutes just to serve my salmon. the worker are often looking grumpy. whenever i try to call them for count plate and ask where's my qr order sushi, they will ignore me and only staring at the floor.",1.0,1.0,5.0,negative
"The attitude of a Chinese waiter uncle needs to be improved, and he is not kind to little children!",一位服务员华人uncle态度需要改善一下，对小孩子很不友善 ！,,,,negative
"Food just average, sitting arrangement a little narrow for me, a little hard to get parking, but just wonder why always see the queue waiting for the sitting. for me, it's just averageService crew just serve what's basic, lack of the Japanese feel Noise levelLoud, but you can still talkWait time10-30 minParking spaceDifficult to find parking","food just average, sitting arrangement a bit narrow for me, a bit hard to get parking, but just wonder why always see the que waiting for the sitting. for me, it's just averageservicing crew just serve what is basic, lack of the japanese feel noise levelloud, but you can still talk",3.0,3.0,3.0,negative
Noise levelModerate noiseWait time10-30 min,noise levelmoderate noise,4.0,4.0,4.0,neutral
Hopefully the restaurant will clean the tableware before serving customers; many dishes are still not thoroughly washed!,hopefully the restaurant will clean the tableware before serving customers; many dishes are still not thoroughly washed!,4.0,3.0,4.0,negative
This is not the case.,this is not the case.,4.0,4.0,4.0,positive
This is not the case.,this is not the case.,1.0,1.0,1.0,negative
"A rolling sushi shop ordered salmon, and the results didn't show up 10 times, 9 times, and no announcement in advance, and no eating mood.",一间旋卷寿司店 要order salmon 结果全部都没有 来10次 9次没有 也不公告提早说没有 吃饭mood 都没有了啦,,,,negative
Noise levelNot sureGroup size5-8 peopleParking spaceNot sure,noise levelnot sure,5.0,5.0,5.0,positive
"Unfortunately, the food came out stone cold and prepared very carelessly, portions looked rushed, no attention to detail. I understand it's the end of the service, but if accepting one more order means the quality drops this much, it's better to stop accepting customers. Paid for a proper meal but got a poor experience. Hope they improve this","visited the restaurant near closing time. staff said it was ‘last call’. unfortunately, the food came out stone cold and prepared very carelessly, portions looked rushed, no attention to detail. i understand it’s the end of service, but if accepting one more order means the quality drops this much, it’s better to stop accepting customer. paid for a proper meal but got a poor experience. hope they improve this",2.0,2.0,2.0,negative
Incredible staff.,unbelievable staff.,2.0,1.0,2.0,negative
"Horrible chicken is not even cooked properly, fried food is wet","horrible chicken is not even cooked properly, fried food is soggy",,,,negative
This is not the case.,this is not the case.,4.0,3.0,3.0,neutral
Reasonable price and the portion of the main dish are a lot. Wait timeUp to 10 minSeating typeIndoor dining areaParking spaceLots of parkingParking optionsFree street parking,reasonable price and the portion of the main dish are a lot.,4.0,5.0,4.0,neutral
"The menu is hidden, and many unique sushi say no, choosing a slightly disappointing Meal type:",menu 被藏起来，很多独特的sushi都说没有，选择少有点失望 disappointed face,,,,negative
"Sushies r delicious & affordable but the hotae rice is very normal, used to be tasty Noise level Quiet, easy to talkParking spaceSome difficult to find parkingParking optionsPaid street parking","sushies r delicious & affordable but the hotae rice is very normal, used to be tasty noise levelquiet, easy to talk",4.0,4.0,3.0,neutral
"fast service, as always, affordable noise levelLoud, but you can still talk","fast service, as always, affordable noise levelloud, but you can still talk",5.0,5.0,5.0,positive
"A good variety of sushi, with affordable prices. Worth a visit. Group sizeSuitable for all group sizesWait timeNo wait","a good variety of sushi, with affordable prices. worth to visit.",5.0,5.0,5.0,positive
"One of the waiters in the store poured water on me and didn't apologize even when I was there laughing at other people and I didn't know if I was paying attention or what, and then I called the waiter and he didn't come for half a day and he didn't know what to talk about, and he was so happy, and the food came up and he was so surprised, and the dishes and cups were all plastic, and every day so many people came, and there was no money, and there was no space, and there were so many waiters who couldn't wash dishes, and it was cheap for you, and so many people would come, and it would be bad service to die.",一进店服务员甩水到我身上 没道歉就算了还在那边跟其他人笑 不知道是没注意还是怎样 然后叫服务员叫半天不来 在那边不懂聊什么笑那么开心 食物上来更是“惊喜” 盘碗杯全部都是plastic的 每天那么多人来 没有钱？ 买不起碗？没有空？那么多服务员 洗不来碗？也就你的东西便宜才会那么多人来吧 服务是差的要死,,,,negative
"The sanitary conditions, the general feeling of the tables and food bottles and other utilities are stale. The place and the neighbors are very close, it is impossible to get close. The food is not as big as before, the choice is less, the quality is so so. The price is familiar! Meal type:",卫生条件嘛 总感觉桌子 酱料瓶等公用物品黏黏糊糊的。位子和邻座很靠近 难免会吵到。餐点大不如前 选择也变少了 品质嘛就so so。价格是亲民的啦！,,,,negative
"Food prices are very reasonable. Due to the huge crowd, services may be compromised. Food quality is good.","food prices is very reasonable. due to huge crowd, services may be compromised. food quality is good.",5.0,4.0,4.0,positive
Noise levelModerate noiseWait timeNo wait,noise levelmoderate noise,5.0,4.0,4.0,neutral
Not consistentSometimes sushi rice undercook sometimes sushi rice too muchService became less interactiveOrdering set meal using QROrdering sushi not on belt using paper sheets.Before paying need to ask for calculation of exact amount of plates.Affordable Japanese sushi restaurant is becoming more to compete.,not consistentsometimes sushi rice undercook sometimes sushi rice too muchservice became less interactiveordering set meal using qrordering sushi not on belt using paper sheets. before pay need to ask for calculate exact amount of plates.affordable japanese sushi restaurant is becoming more to compete.,3.0,3.0,3.0,neutral
This is not the case.,this is not the case.,5.0,5.0,5.0,positive
This is not the case.,this is not the case.,5.0,5.0,5.0,positive
This is not the case.,this is not the case.,5.0,5.0,5.0,positive
"Good place, need to q, good price, value for money, over the years, quality well controlled. Still worth revisiting. ReservationNot sureWait time10-30 minParking spaceSomehow difficult to find parkingParking optionsPaid street parking","good place, need to q, good price, value for money, over the years, quality well controlled. still worth to revisit. reservationnot sure",4.0,4.0,3.0,positive
This is not the case.,this is not the case.,2.0,2.0,2.0,negative
This is not the case.,this is not the case.,5.0,3.0,5.0,positive
This is not the case.,this is not the case.,4.0,3.0,4.0,neutral
"The service is very good, and when you walk in the door, it's very polite to let you sit in your seat, there's a handwritten note that no one can help you take it with you to be very humanized, and the food is also very good to eat mashed potatoes as hard as stone and to exercise your teeth as well.",服务态度非常的好，你进门的时候还特别有“礼貌”让你座在你的位置，手写单写好了没有人可以帮还要你自己拿去去非常的人性化，食物也是非常的好吃毛豆硬到跟石头一样还顺便锻炼牙齿了 thumbs up,,,,positive
9pm start to close shop already..Seri Kembangan branch is the best!,9pm start to close shop already..seri kembangan branch is the best!,,1.0,1.0,negative
"Today I stewed some steamed eggs, and it was cold, and the result was a little uncomfortable, and I spat out two rounds, hoping I'd pay attention to it later.",今天点了蒸水蛋 捧上来是冷的 结果吃了有点不太舒服 吐了两轮 希望日后能注意一下 smiling face with tear,,,,negative
Got one botak staff very rude attitude when serving customer. disturbing & asking customer to put the ultery for him in an impolite way. more than 2 times already & suspiciously do it. Is it customer responsibility to do work for staff?,got one botak staff very rude attitude when serve customer. disturbing & asking customer to put the ultery for him in impolite way. more than 2 times already & suspect purposely do it. is it the customer responsibility to do job for staff?,,2.0,,negative
This is not the case.,this is not the case.,4.0,5.0,,positive
Noise levelModerate noiseWait timeUp to 10 min,noise levelmoderate noise,5.0,5.0,5.0,neutral
"I tried every outlet, the first time I came to this outlet, gave me the qr code and just let me look for the table, plate cracked at the corner. Staff wearing slippers at work, potato size is very oversized and a little undercooked shown in the photo below, sauce plate was so dirty, given the answer is we use machine to wash the plate very dirty. Ordered special sushi that is not in the menu fried maki at 7:15pm and was told the special maki cannot be served, only sell in the morning and afternoon. Had a very bad experience and very disappointed in the service, some staff don't even wear uniform at work WaitUp to 10 minutes Parking spaceSome difficult to find","tried every outlet, first time coming to this outlet, gave me the qr code and just let myself look for the table, plate cracked at the corner. staff wearing slippers at work, potato size is very oversize and a little undercook shown in photo below, sauce plate was so dirty, given the answer is “we use machine to wash the plate” very dirty. ordered special sushi that is not in the menu “fried maki” at 7:15pm and was told the special maki can't be serve, only sell at morning and afternoon. had a very bad experience and very disappointed in the service, some staff don't even wear uniform at work",2.0,1.0,1.0,negative
Always .,always,4.0,4.0,4.0,positive
"The food is very good, and there are many new dishes, and every new dish is very good, and people who don't care about the service don't care about the restaurant environment can come for their food. Because their waiters are always face black, and it's always useful to put food on the table, as if to complain to us about their negative emotions.",食物非常好吃，也多了很多新菜品，每个新菜品都很好吃，如果不在乎服务不在乎餐厅环境的人，可以为了他们的食物来。因为他们的服务员总是脸很黑，而且送食物上桌时总是很用力的放在桌上，好像在向我们抱怨他们的负面情绪一样 face with tears of joy 还有就是他们收拾碗盘然后倒进盆时总是发出很大很大的动静，碗盘的碰撞声很刺耳很吵，还不是一次两次，而是很常这样。还有就是他们的卫生不太好，地上，椅子很脏，他们抹盖寿司的透明盖时，用的是同一片抹布，没看见他们去洗。,,,,positive
"I've been here many times, recommended dishes, variety of sushi, miso soup, salmon head Teriyaki Noise level, moderate noise.",excellent food overall. been here many times.,5.0,4.0,4.0,positive
"You can enjoy your meal without hurry, the parking area is quiet enough, they serve you friendly and your order will be fast ask they place your order systematically.",like it. the decoration are nice any relaxing. you can enjoy your meal without rush. the parking area are quiet enough. they serve you friendly and your order will be fast ask they place your order systematically.,4.0,4.0,4.0,positive
"The food is affordable and tastes good, and I've been eating here for many years. However, the staff at this branch really have a very poor service attitude. They keep chatting with each other and don't pay attention when we call them. Every time I come here, it's the same experience... really disappointing. Noise levelModerate noise","the food is affordable and tastes good, and i’ve been eating here for many years.however, the staff at this branch really have very poor service attitude. they keep chatting with each other and don’t pay attention when we call them. every time i come here, it’s the same experience… really disappointing. noise levelmoderate noise",4.0,1.0,3.0,negative
This is not the case.,this is not the case.,5.0,5.0,5.0,positive
"I don't know what to say, so go and experience Meal type for yourself:",不知道可以讲什么，自己去体会,,,,negative
This is not the case.,this is not the case.,5.0,5.0,5.0,positive
This is the second time I've miscalculated money!,算错钱第二次了！,,,,negative
It's good to eat 🙂 Food:,好吃 thumbs up food:,,,,positive
It's a great place to eat Meal type:,不错选择的一个用餐地点,,,,positive
"Noise level Quiet, easy to talkWait time10-30 min","noise levelquiet, easy to talk",5.0,5.0,5.0,positive
Noise levelModerate noiseWait timeUp to 10 min,noise levelmoderate noise,5.0,5.0,5.0,positive
"I came twice, and the host looked like he couldn't see me, and there was someone who didn't want me to come in, and he kept asking me to wait outside.",来两次，两次招待员样子不能看，有位了也不想让我进来，还继续让我在外面等。,,,,negative
"The service is too bad - the menu is checked on the computer and every day and a half and there are also leaks. The menu can also leak a question or three I don't know. There are no polite answers. We drink 8 glasses of water and only 4 glasses, our polite questions they also answer only a few more glasses and a few more glasses.",服务太差了~ 点餐有没有进电脑也检查个半天进了一次居然还有漏单。出菜也能出漏一问三不知。也没有礼貌的回答。我们点8杯水只来4杯，我们礼貌的询问 他们也只是回答还有几杯还有几杯。,,,,negative
I love this sushi but take away condiments is too little.,i love this sushi but take away condiment is too little. reservationreservations not required,3.0,4.0,4.0,positive
This is not the case.,this is not the case.,5.0,3.0,3.0,positive
"On Wednesday 2nd July 2025, we visited Sushi Mentai in Malim Jaya. Surprisingly, at 6:30 pm, we were able to get seats without having to queue, which is uncommon as there is usually a queue of 3 to 4 tables by 6 pm on weekends.Our all-time favorite is the SP12, which is salmon topped with some crunchy tempura and cucumber. The taste is delightful, especially after 80% of the salmon surface is lightly burned. It's a dish we always enjoy. The free space, however, is quite cramped and narrow, leaving little room for children to move around. It's something to consider if dining with each child. As for pricing, the red plate costs RM3 and each yellow plate is RM2. Hot tea is priced at a total of RM1 per person. For a type of 12 glass plates and three yellow plates, it's difficult to charge a parking space for 10 minutes.","on wednesday 2nd july 2025, we visited sushi mentai in malim jaya. surprisingly, at 6:30 pm, we were able to get seats without having to queue, which is uncommon as there’s usually a queue of 3 to 4 tables by 6 pm on weekends.our all-time favorite is the sp12, which is salmon topped with some crunchy tempura and cucumber. the taste is delightful, especially after 80% of the salmon surface is lightly torched. it’s a dish we always enjoy.the space, however, is quite cramped and narrow, leaving little room for children to move around. it’s something to consider if dining with kids.as for pricing, each red plate costs rm3 and each yellow plate is rm2. hot tea is priced at rm1 per glass. for a total of 12 red plates and 7 yellow plates, shared among three adults, our total bill came to rm60. it’s a pretty affordable option for japanese food.",5.0,4.0,3.0,positive
"I ordered a bowl of noodles. The noodles were ready, but no one went to get them. After waiting for a long time, I found that the noodles were ready at the door of the meal. The noodles were cold. I spoke to the waiter, but the waiter replied o.","i ordered a bowl of noodles. the noodles were ready, but no one went to get them. after waiting for a long time, i found that the noodles were ready at the door of the meal. the noodles were cold. i talked to the waiter, but the waiter replied o .",1.0,1.0,1.0,negative
A solid option for affordable yet quality sushi in Melaka,a solid option for affordable yet quality sushi in melaka,4.0,3.0,4.0,positive
"The staff was super unfriendly, as if the customers owed them money. The menus weren't even taken away when the food was served. The waiters who served our food basically pushed it onto our table. We ordered a side dish and it was passed to us over the conveyor belt. Absolutely terrible service. If the service was bad and the food was good, it might be excusable, but the food wasn't even good. The ramen broth was water, lacking in flavor. The ramen itself has this weird damp texture. Side note: I wish they would separate the tempura from the udon. It's one small thing to do that's logical. The only redeeming quality is the price. It's cheaper than a lot of the Japanese money places in Melaka. But if I were you, I wouldn't waste this noise.","staff super unfriendly, as if the customers owe them money. the menus weren't even taken away when the food was served. waiters who served our food basically shoved it onto our table. we ordered a side dish and it was passed to us over the conveyor belt. absolutely terrible service.if the service was bad and the food was good, it might be excusable, but the food was not even good. the ramen broth was water, lacking in flavor. the ramen itself has this weird soggy texture.side note: i wish they would separate the tempura from the udon. it's one small thing to do that's logical.the only redeeming quality is the price. it's cheaper than a lot of the japanese places in melaka. but if i were you, i wouldn't waste this money. noise levelmoderate noise",2.0,1.0,2.0,negative
"They put so many tables and really packed with customers, feels like we were dining at foodcourt Noise levelModerate noiseWait timeNo wait","reasonable price !they put so many tables and really packed with customers, feels like we were dine at foodcourt noise levelmoderate noise",4.0,4.0,4.0,positive
Nice clean environment. Value for money. Group size 3-4 people Seating typeIndoor dining areaParking spaceNot sure,nice clean environment.value for money.,4.0,4.0,5.0,positive
This is not the case.,this is not the case.,5.0,5.0,4.0,positive
"The first time and the last time, the service was so bad... the employees were not polite to take orders directly... they were impatient... wearing glasses in blue clothes a little fat... not to eat for free or give money... like our customers owe you... Order type:",第一次来也是最后一次来，服务态度太差…员工没礼貌拿order直接用拉的..不耐烦…戴眼镜穿蓝衣服有点胖的..不是来吃免费的有给钱的呢…好像我们顾客欠你似的…order type:,,,,negative
"The place is small, very congested, air conditioning not cold enough. Food is okay. Noise levelLoud, but you can still talk","place is small, very congested ,aircond not cold enough. food is ok. noise levelloud, but you can still talk",3.0,3.0,3.0,neutral
"This sushi restaurant offers a wide selection of sushi at reasonable prices, all in a cozy atmosphere and with friendly service.","this sushi restaurant offers a wide selection of sushi at reasonable prices, all within a cozy atmosphere and with friendly service.",5.0,5.0,5.0,positive
This is not the case.,this is not the case.,4.0,4.0,4.0,positive
"I had lunch today at Sushi Mentai (Malim branch) and unfortunately, the experience was quite disappointing. The sushi rice was a bit hard and loosely packed (loose), which affected the overall texture. The wasabi also lacked flavor.","i had lunch today at sushi mentai (malim branch) and unfortunately, the experience was quite disappointing. the sushi rice was a bit hard and loosely packed (松散), which affected the overall texture. the wasabi also lacked flavour. service-wise, the staff's attitude left room for improvement, and the serving speed was very slow. i hope the management can look into these issues to improve the dining experience for future customers. noise levelloud, but you can still talkspecial offersnot sure",2.0,2.0,4.0,negative
"The food here is tasty and affordable. But, for the business owner, please take note of your restaurant condition and staffing needs. When the afternoon comes, with Malaysia's hot weather. Your four big air conditioners no longer function well. Even more when the restaurant is loaded with people(full house). The seating arrangement is too crowded, not suitable for families with small children. You want to earn so much at a time by putting in so many seats. But, the comfort level is compromised. Your staff were not happy working, all wet with sweat. They also quarrelled in front of customers. How can they prepare hygienic food and provide services? the used mop is left near the sink area at the entrance to the toilet. A little girl who wanted to go for a wet hand wash got all their dirty mop. Oh my God. I think the staff has made a terrible experience here, but today I'll let you take a look at these services, but one day before putting these services down, I'll have to take a horrible action.","the food here is tasty and affordable. but, for the business owner,please take note of your restaurant condition and staffing needs. when afternoon comes, with malaysia's hot weather. your four big airconds no longer functioning well. even more when the restaurant is loaded with people(full house). the seating arrangement is too crowded, not suitable for families with small kids. you want to earn so much at one time by putting such many seats. but, the comfort level is compromised. your staffs weren't happy working, all drenched with sweat. they also quarreled in front of customers. how can they prepare hygienic food and provide quality services?the dirty used mop is left near the sink area at the toilet entrance. a small girl who just wanted to go for a hand wash got their dress all wet from the dirty mop. oh my god. horrible experience coming here. i think i made a written-complaint before regarding the facilities and services, but seems like no actions taken. today, i decided to take this to google review. one day, your business will suffer if you let these petty issues prolong,without putting your customers'and staffs' needs first.",4.0,1.0,1.0,negative
"The prices are affordable and the food is ok. However, there was a bad smell coming from the garbage can, which was noticeable during the meal. One of the staff used the same cloth to wipe both the table and the chair cushions. I reminded the staff on the spot not to do that, but he ignored me and continued to wipe several chairs. Some chairs had a lot of food crumbs, and the staff wiped the entire surface, while for others, he used the cloth to pick up the crumbs directly. Group size3-4 peopleWait timeNo waitVegetarian optionsParking spaceDifficult to findParking optionsPaid street parking","the prices are affordable and the food is ok. however, there was a bad smell coming from the trash bin, which was noticeable during the meal. one of the staff used the same cloth to wipe both the table and the chair cushions. i reminded the staff on the spot not to do that, but he ignored me and continued wiping several chairs. some chairs had a lot of food crumbs, and the staff wiped the entire surface, while for others, he used the cloth to pick up the crumbs directly.",4.0,1.0,1.0,negative
Food is good and feels fresh Meal type:,食物不错 感觉新鲜,,,,positive
"Food is delicious, food is fast, food is fast, food is fast, food is fast, food is fast, food is fast, food is fast, food is fast, food is fast, food is fast, food is fast, food is fast, food is fast, food is fast, and food is fast.",食物美味，出菜快速 价钱公道,,,,positive
"Noise levelLoud, but you can still talkGroup size2 peopleWait time10-30 min","noise levelloud, but you can still talk",,,,neutral
This is not the case.,this is not the case.,5.0,5.0,5.0,positive
Good service .,good service,5.0,5.0,4.0,positive
This is not the case.,this is not the case.,5.0,5.0,5.0,positive
It's all because of the price. 😁😁😋 Order type:,一切都是因为价钱而合理了 beaming face with smiling eyes beaming face with smiling eyes beaming face with smiling eyes face savoring food order type:,,,,positive
"It's not a good meal, but it's one of the most unpleasant things about a hairy waitress.",服务态度很不好饭里面有头发最不喜欢服务员的态度food:,,,,negative
This is not the case.,this is not the case.,5.0,4.0,4.0,positive
This is not the case.,this is not the case.,1.0,1.0,1.0,negative
This is not the case.,this is not the case.,4.0,4.0,4.0,positive
This is not the case.,this is not the case.,5.0,5.0,4.0,positive
Going to this place and expecting sushi king standard didn't expect it to be good. I was wrong. Very decent sushi joint I would judge it to be better than Sushi-Go in Singapore.,going to this place and was expecting sushi king standard didn't expected it to be good. i was wrong. very decent sushi joint i would judge it to be better than sushi-go in singapore.,5.0,5.0,5.0,positive
This is not the case.,this is not the case.,3.0,3.0,2.0,negative
"The table was smelly the food was not fully served even after ordering, it took a long time to serve food quality wist downzzzz","the table was smelly smiling face with tear the food was not fully served even after ordering, it took a long time to servefood quality wist downzzzz",1.0,1.0,,negative
This is not the case.,this is not the case.,5.0,5.0,5.0,positive
Affordable Japanese food at a reasonable price. Friendly staff and good service. Recommended dishesVariety of sushi,affordable japanese food at a reasonable price. friendly staff and good service.,5.0,5.0,5.0,positive
😍😃 so happy,smiling face with heart-eyes grinning face with big eyes so happy,4.0,4.0,3.0,positive
This is not the case.,this is not the case.,5.0,5.0,3.0,positive
This is not the case.,this is not the case.,3.0,3.0,3.0,neutral
As usual always came here for a meal,like usual always came here for meal,5.0,5.0,5.0,positive
"The advantage is cheap, the taste is moderate. The service is still good, and some waiters who meet customers who are angry have also seen the attitude of enthusiastic service around, let's see luck.",优点是便宜，味道中规中矩。服务还行，有遇到对顾客发脾气的服务员也见过态度热情服务周到的，看运气吧。没什么氛围可言，便宜大碗是他之所以生意蒸蒸日上的原因,,,,positive
"This is the most popular civilian Japanese sushi shop in Malayalam, the price is familiar (it is much cheaper than traditional Japanese restaurants), suitable for families of all sizes to come to eat, so there are many people at different times of the day, and the meal time is even more in line, and there are often many people sitting outside the store waiting.",這算是馬六甲最受歡迎的平民日本壽司店了，價格親民（比起傳統的日本餐廳的確便宜很多），適合全家大小同來進餐，所以每天的每個不同時段都非常多人，餐點時間更是需要排隊，在店外坐著等待的人经常挺多。,,,,positive
This is not the case.,this is not the case.,5.0,3.0,5.0,positive
This is not the case.,this is not the case.,5.0,5.0,5.0,positive
Value for money sushi.,value for money sushi.,4.0,5.0,4.0,positive
This is not the case.,this is not the case.,5.0,5.0,5.0,positive
